中半山,慧豪閣,7/P8,1.330,2018-03-01,"
"
大角咀,凱帆軒,2/28,1.600,2018-02-21,"
"
將軍澳,新寶城,1/P288,1.730,2018-02-21,"
"
元朗,翠疊軒,"B/7-9,14,15",1.735,2018-02-21,"
"
大角咀,富榮花園 第01期 停車場,G/G47,1.780,2018-02-21,"
"
新蒲崗,采頤花園,G/M26,0.050,2018-02-21,"
"
大埔,翠屏花園,B/P22,1.130,2018-02-21,"
"
荃灣,豪景花園 第03期 停車場,1/25,0.620,2018-02-21,"
"
荃灣,碧堤半島,L6/R6445,0.965,2018-02-21,"
"
荃灣,麗城花園 第02期,2/112,1.580,2018-02-21,"
"
何文田,皓畋,LG/LG99,3.500,2018-02-21,"
"
大埔,鹿茵山莊 鹿怡居,B2/26,0.800,2018-02-21,"
"
大埔,鹿茵山莊 鹿怡居,B2/25,0.800,2018-02-21,"
"
屯門,兆麟苑 第01期,2/153,0.790,2018-02-21,"
"
東涌,昇薈,B/A434,0.800,2018-02-21,"
"
青衣,海欣花園,G/C100,1.700,2018-02-21,"
"
青衣,海欣花園,G/C40,1.750,2018-02-21,"
"
九龍塘,根德閣,B/162,0.800,2018-02-21,"
"
沙田,嘉御山,B/1,0.305,2018-02-21,"
"
沙田,嘉御山,B/7,0.310,2018-02-21,"
"
沙田,嘉御山,B/9,0.305,2018-02-21,"
"
荃灣,興盛工業大廈,1/L16,2.100,2018-02-21,"
"
沙田,新都廣場,3/P342,0.930,2018-02-21,"
"
屯門,兆麟苑 第02期,3/181,0.730,2018-02-21,"
"
沙田,壹號雲頂,L2/P2026,1.630,2018-02-21,"
"
沙田,松翠小築,LG/3,4.300,2018-02-21,"
"
沙田,曉翠山莊,C4/36,0.700,2018-02-21,"
"
何文田,皓畋,LG/LG98,3.500,2018-02-21,"
"
馬鞍山,富寶花園,1/1123,1.335,2018-02-21,"
"
大埔,寶湖花園,B/5,1.380,2018-02-21,"
"
大埔,帝琴灣 凱琴居,LC/149,12.000,2018-02-21,"
"
屯門,海翠花園,U1/151,1.220,2018-02-21,"
"
屯門,兆麟苑 第02期,3/228,0.740,2018-02-21,"
"
堅尼地城,寶雅山,1/4,2.900,2018-02-21,"
"
沙田,金獅花園 第02期,L3/36,0.960,2018-02-20,"
"
粉嶺,榮輝中心,G/161,0.450,2018-02-20,"
"
油麻地,君頤峰,L6/250,2.900,2018-02-20,"
"
將軍澳,新都城 第02期,B2/RC219,1.690,2018-02-20,"
"
屯門,瓏門,5/5R027,2.080,2018-02-20,"
"
屯門,恒順園,L3/8,0.900,2018-02-20,"
"
北角,富澤花園,G/61,1.360,2018-02-20,"
"
荃灣,海濱花園 平台 C,L2/109,1.280,2018-02-20,"
"
長沙灣,泓景台,3/98,1.750,2018-02-20,"
"
荃灣,寶雲匯,L2/P2,0.590,2018-02-20,"
"
荃灣,環宇海灣,L3/R51,1.460,2018-02-20,"
"
天水圍,嘉湖山莊 第01期 樂湖居,B2/1,1.260,2018-02-20,"
"
大埔,樂賢居,1/202,0.868,2018-02-20,"
"
西貢,傲瀧,-/3326C,2.200,2018-02-20,"
"
大埔,盈峰翠邸,G/P137,0.400,2018-02-20,"
"
屯門,翠寧花園,-/177,0.810,2018-02-20,"
"
屯門,兆麟苑 第02期,2/136,0.790,2018-02-20,"
"
屯門,兆麟苑 第01期,1/92,0.810,2018-02-20,"
"
屯門,疊茵庭,P3/140,0.800,2018-02-20,"
"
沙田,欣廷軒,G/P38,1.100,2018-02-20,"
"
大埔,翠屏花園,B/P90,1.050,2018-02-20,"
"
柴灣,雅麗閣,G/55,0.630,2018-02-20,"
"
北角半山,萬德閣,-/214,0.718,2018-02-20,"
"
將軍澳,日出康城 第02期 領都,L2/416,2.170,2018-02-20,"
"
西貢,傲瀧,-/3584C,2.200,2018-02-20,"
"
西貢,傲瀧,-/3480C,2.000,2018-02-20,"
"
西貢,傲瀧,-/3968D,2.200,2018-02-20,"
"
西貢,傲瀧,-/3722B,1.600,2018-02-20,"
"
上水,御皇庭,G/20,1.100,2018-02-20,"
"
沙田,富豪花園,B2/1130,0.740,2018-02-20,"
"
沙田,雲疊花園,R/278,1.110,2018-02-20,"
"
東涌,映灣園 第06期,B2/B123,1.738,2018-02-20,"
"
沙田,玖瓏山,B/B067,3.980,2018-02-20,"
"
紅磡,崇廉樓,1/60,1.500,2018-02-15,"
"
沙田,碧濤花園 第02期,G/222,0.790,2018-02-15,"
"
屯門,屯門柏麗廣場,9/C35,0.850,2018-02-15,"
"
紅磡,紅磡灣中心,B/98,1.860,2018-02-15,"
"
荃灣,翠豐台,P2/C63,1.460,2018-02-15,"
"
沙田,富豪花園,B1/737,0.860,2018-02-15,"
"
沙田,富豪花園,B1/1014,0.770,2018-02-15,"
"
西貢,傲瀧,-/3427C,2.200,2018-02-15,"
"
西貢,傲瀧,-/3444C,2.000,2018-02-15,"
"
西貢,傲瀧,-/3908D,2.000,2018-02-15,"
"
西貢,傲瀧,-/3731B,0.000,2018-02-15,"
"
西貢,傲瀧,-/3437C,0.000,2018-02-15,"
"
西貢,傲瀧,-/3362C,0.000,2018-02-15,"
"
西貢,傲瀧,-/3412C,0.000,2018-02-15,"
"
西貢,傲瀧,-/8988D,2.000,2018-02-15,"
"
西貢,傲瀧,-/3556C,2.000,2018-02-15,"
"
西貢,傲瀧,-/3508C,2.200,2018-02-15,"
"
天水圍,嘉湖山莊 第01期 樂湖居,B1/18,1.380,2018-02-15,"
"
沙田,雅士閣,-/2,13.500,2018-02-15,"
"
沙田,駿景園,G/G088,1.680,2018-02-15,"
"
大角咀,富榮花園 第02期 停車場,8/836,1.250,2018-02-15,"
"
大角咀,富榮花園 第02期 停車場,8/836,1.250,2018-02-15,"
"
荃灣,環宇海灣,L3/R44,1.420,2018-02-15,"
"
油塘,麗港城 第04期,B/165,2.180,2018-02-15,"
"
荃灣,碧堤半島,L6/R6196,0.500,2018-02-15,"
"
馬鞍山,翠擁華庭,B1/83,1.630,2018-02-15,"
"
馬鞍山,翠擁華庭,B1/256,1.780,2018-02-15,"
"
荃灣,豪景花園 第02期 停車場,2/87,0.650,2018-02-15,"
"
荔枝角,美孚新村 7期,2/486,1.400,2018-02-15,"
"
西貢,傲瀧,-/3420C,2.200,2018-02-15,"
"
荃灣,金豐閣,B/C5,1.680,2018-02-15,"
"
荃灣,金熊工業中心,1/13,1.150,2018-02-15,"
"
西貢,傲瀧,-/3482C,2.200,2018-02-15,"
"
沙田,沙田第一城 第04期,1/112,1.070,2018-02-15,"
"
沙田,沙田第一城 第04期,G/8,0.970,2018-02-15,"
"
青衣,青怡花園,B/297,1.388,2018-02-15,"
"
何文田,皓畋,LG/LG187,0.000,2018-02-15,"
"
沙田,金獅花園 第02期,L2/124,1.200,2018-02-15,"
"
紅磡,黃埔花園 第04期,"B/118,R9",3.780,2018-02-15,"
"
沙田,翠景花園,2/50,0.980,2018-02-15,"
"
屯門,海景花園,LG2/124,0.900,2018-02-15,"
"
尖沙咀,匯翔道8號,B2/2-123,2.900,2018-02-15,"
"
觀塘,萬兆豐中心,2/P21,2.180,2018-02-15,"
"
荃灣,豪景花園 第03期 停車場,4/129,0.650,2018-02-15,"
"
荃灣,興盛工業大廈,1/10,1.600,2018-02-15,"
"
荃灣,金豐閣,B/C5,1.680,2018-02-15,"
"
九龍灣,啟德1號 第02期 停車場,B/M3,0.070,2018-02-15,"
"
西貢,傲瀧,-/3104C,2.200,2018-02-15,"
"
西貢,傲瀧,-/3503C,2.200,2018-02-15,"
"
西貢,傲瀧,-/3740B,1.600,2018-02-15,"
"
西貢,傲瀧,-/3320C,2.200,2018-02-15,"
"
西貢,傲瀧,-/3321C,2.200,2018-02-15,"
"
西貢,傲瀧,-/3448C,2.000,2018-02-15,"
"
西貢,傲瀧,-/3471C,2.000,2018-02-15,"
"
荃灣,豪景花園 第03期 停車場,3/115,0.650,2018-02-15,"
"
荔枝角,美孚新村 2期,UL/289,1.650,2018-02-15,"
"
荔枝角,美孚新村 4期,2/413,1.380,2018-02-15,"
"
黃大仙,現崇山,4/P29,0.000,2018-02-15,"
"
大角咀,凱帆軒,2/66,1.980,2018-02-15,"
"
荃灣,恒麗園,1/12,1.000,2018-02-15,"
"
屯門,美樂花園,B1/231,0.785,2018-02-15,"
"
屯門,景峰花園,G/G08,0.800,2018-02-15,"
"
東涌,映灣園,B/241,1.680,2018-02-15,"
"
將軍澳,日出康城 第02期 領都,L2/363,2.080,2018-02-15,"
"
將軍澳,峻瀅 II,1/R136,1.890,2018-02-15,"
"
將軍澳,維景灣畔,LG3/248,1.960,2018-02-15,"
"
薄扶林,置富花園,L2/165,1.160,2018-02-15,"
"
東涌,昇薈,B/A444,0.800,2018-02-15,"
"
跑馬地,學談花園,G/2,2.000,2018-02-15,"
"
元朗,溱林,B/55,0.000,2018-02-15,"
"
